Year,AF,AN
1990,"0,57",260952
1991,"0,67",309995
1992,"0,68",318293
1993,"0,59",278906
1994,"0,73",354884
1995,"0,82",398883
1996,"0,58",285125
1997,"0,53",258013
1998,"1,17",574110
1999,"0,62",307742
2000,"0,56",278617
2001,"0,57",287022
2002,"0,79",402404
2003,"0,9",461538
2004,"0,64",329810
2005,1,516926
2006,"0,76",390253
2007,"0,83",425991
2008,"0,56",294318
2009,"0,87",455614
2010,"1,37",721588
2011,"0,68",359081
2012,"0,95",504462
2013,"0,86",458251
2014,"0,83",448321
2015,"0,94",509489
2016,"1,23",676006
2017,"0,99",551282
2018,"0,9",507062
2019,"1,24",701303
2020,"0,86",540304
2021,"0,83",558304
