Year,EmplPop15+,WHL200Serv,WHL300Manuf,WHL400sunAgr,WHL400sunConstr,TotalSunAgCon,TotalSunWHLpp
1990,2223125064,11102329,15028351,251857303,17053849,295041831,133
1991,2252515079,11314034,14864521,253226605,17710099,297115260,132
1992,2285639780,10429052,13747711,242173157,17000473,283350393,124
1993,2311101741,12013476,14758095,251052734,18832093,296656397,128
1994,2344424679,13555557,17481307,268526268,20966975,320530108,137
1995,2380019243,15266226,18287980,280189499,22593181,336336886,141
1996,2418087821,14173222,17076482,268519938,22561642,322331284,133
1997,2460700418,14406413,17257136,269295342,23240801,324199692,132
1998,2499366319,21731477,24031886,335822401,28542894,410128658,164
1999,2544081264,16019026,18606912,284499997,24669424,343795359,135
2000,2591818725,16755415,19740211,294413855,25849751,356759232,138
2001,2630552570,17923685,20379478,298045948,27548177,363897287,138
2002,2666043528,20155183,21960270,314076755,30717465,386909674,145
2003,2707892169,21167179,22963215,316286351,31907453,392324198,145
2004,2758691381,20488430,22221221,307032672,33193286,382935609,139
2005,2808786622,23509139,25185932,321128155,36993640,406816866,145
2006,2855731658,23854169,25710766,318597977,40344255,408507167,143
2007,2901563494,24451810,26079495,313093092,43714816,407339213,140
2008,2934305123,21739061,23379957,291267581,43435627,379822226,129
2009,2948767069,26396013,26911981,322139396,50701029,426148418,145
2010,2983621230,32890771,32042709,350727218,60648763,476309460,160
2011,3024992220,26117336,26631900,295546544,53869282,402165062,133
2012,3059461847,28558675,29632259,303874538,58645823,420711295,138
2013,3093683755,31175707,32188070,306930110,61131964,431425852,139
2014,3130919412,32073248,31973161,306294839,63998832,434340080,139
2015,3166341484,34517061,33349110,309884628,68965361,446716160,141
2016,3202631917,42776864,40015314,339038865,77821060,499652103,156
2017,3237908905,41486970,39008423,324085495,77784180,482365069,149
2018,3278150875,40041228,37676071,307855929,77356248,462929476,141
2019,3319794715,45502666,40518457,328184008,83691776,497896907,150
2020,3254106645,42810042,38498810,327447017,78960953,487716822,150
2021,3350066164,40988113,38281302,324153521,82843492,486266429,145
2022,3433362412,45874083,42397212,339628048,95071412,522970755,152
2023,3503922751,50432661,45150950,360298525,94626137,550508273,157
2024,3593534549,63819892,56046376,406471717,113517020,639855006,178
